
#####################################################################################################
###################################MATCHES###########################################################
#####################################################################################################
366 - 369, <Org>
'149702 - 149708, <Person> : Хромой' == '<NULL>'
'149795 - 149830, <Person> : представителей конкурирующих кланов' == '<NULL>'
'149917 - 149924, <Person> : киллеры' == '<NULL>'
'149943 - 149953, <Person> : авторитету' == '<NULL>'
'149942 - 149954, <Person> : "авторитету"' == '<NULL>'
'149955 - 149971, <Person> : Рагуфу Рустамову' == '<NULL>'
'149942 - 149971, <Person> : "авторитету" Рагуфу Рустамову' == '<NULL>'
'150020 - 150024, <Person> : Бахи' == '<NULL>'
'150027 - 150036, <Person> : Лоту Гулу' == '<NULL>'
'150038 - 150048, <Person> : Несчастный' == '<NULL>'
'150190 - 150205, <Person> : предпринимателя' == '<NULL>'
'150226 - 150233, <Person> : киллеры' == '<NULL>'
'150255 - 150263, <Person> : Рустамов' == '<NULL>'
'150273 - 150281, <Person> : друзьями' == '<NULL>'
'150527 - 150533, <Person> : жертвы' == '<NULL>'
'150623 - 150637, <Person> : Ровшан Джаниев' == '<NULL>'
'150738 - 150759, <Person> : Ровшана Лянкоранского' == '<NULL>'
'150828 - 150845, <Person> : Ильгар Джабраилов' == '<NULL>'
'150856 - 150863, <Person> : Данабаш' == '<NULL>'
'150926 - 150939, <Person> : вора в законе' == '<NULL>'
'150925 - 150940, <Person> : "вора в законе"' == '<NULL>'
'150992 - 150996, <Person> : шефа' == '<NULL>'
'151127 - 151134, <Person> : Данабаш' == '<NULL>'
'151157 - 151169, <Person> : Юсифа Алиева' == '<NULL>'
'151182 - 151193, <Person> : Джабраилова' == '<NULL>'
'151243 - 151249, <Person> : киллер' == '<NULL>'
'151380 - 151396, <Person> : Ровшана Джаниева' == '<NULL>'
'151498 - 151520, <Person> : криминального генерала' == '<NULL>'
'151497 - 151521, <Person> : "криминального генерала"' == '<NULL>'
'151522 - 151541, <Person> : Мераба Джангвеладзе' == '<NULL>'
'151543 - 151558, <Person> : Мераб Сухумский' == '<NULL>'
'151673 - 151680, <Person> : Ровшана' == '<NULL>'
'151694 - 151700, <Person> : Мераба' == '<NULL>'
'151809 - 151858, <Person> : источники "Росбалта" в правоохранительных органах' == '<NULL>'
'151885 - 151895, <Person> : совладелец' == '<NULL>'
'151898 - 151916, <Person> : Левон Джангвеладзе' == '<NULL>'
'152051 - 152064, <Person> : Лянкоранского' == '<NULL>'
'152091 - 152111, <Person> : Леваном Джангвеладзе' == '<NULL>'
'152113 - 152119, <Person> : Ровшан' == '<NULL>'
'152229 - 152235, <Person> : Ровшан' == '<NULL>'
'152262 - 152268, <Person> : Левана' == '<NULL>'
'152312 - 152318, <Person> : Ульфат' == '<NULL>'
'152328 - 152340, <Person> : Джангвеладзе' == '<NULL>'
'152362 - 152375, <Person> : Лянкоранского' == '<NULL>'
'152472 - 152478, <Person> : Ровшан' == '<NULL>'
'152481 - 152487, <Person> : Ульфат' == '<NULL>'
'152511 - 152531, <Person> : Мерабом Джангвеладзе' == '<NULL>'
'152533 - 152545, <Person> : Лянкоранский' == '<NULL>'
'152567 - 152580, <Person> : вору в законе' == '<NULL>'
'152566 - 152581, <Person> : "вору в законе"' == '<NULL>'
'152613 - 152618, <Person> : брата' == '<NULL>'
'152632 - 152637, <Person> : Мераб' == '<NULL>'
'152644 - 152653, <Person> : охранники' == '<NULL>'
'152711 - 152721, <Person> : оппонентов' == '<NULL>'
'152723 - 152729, <Person> : Ровшан' == '<NULL>'
'152732 - 152738, <Person> : Ульфат' == '<NULL>'
'152844 - 152856, <Person> : Джангвеладзе' == '<NULL>'
'152957 - 152964, <Person> : снайпер' == '<NULL>'
'153090 - 153095, <Person> : Мераб' == '<NULL>'
'153098 - 153104, <Person> : Ровшан' == '<NULL>'
'153166 - 153170, <Person> : Руфо' == '<NULL>'
'153187 - 153193, <Person> : Усояна' == '<NULL>'
'153202 - 153218, <Person> : Ровшана Джаниева' == '<NULL>'
'153350 - 153366, <Person> : торговец шаурмой' == '<NULL>'
'156062 - 156074, <Person> : И. П. Павлов' == '<NULL>'
'156159 - 156172, <Person> : А. К. Лебедев' == '<NULL>'
'156252 - 156260, <Person> : Брэм А.Э' == '<NULL>'
'156312 - 156327, <Person> : Ю. В. Афанасьев' == '<NULL>'
'156329 - 156343, <Person> : А. Я. Державец' == '<NULL>'
'156490 - 156506, <Person> : Дмитрием Козаком' == '<NULL>'
'156731 - 156748, <Person> : Александр Самохин' == '<NULL>'
'156750 - 156811, <Person> : Лидер отделения "Демократического выбора" в Рязанской области' == '<NULL>'
'156975 - 157021, <Person> : Организатор проведения Русского Марша в Рязани' == '<NULL>'
'157230 - 157247, <Person> : Александр Самохин' == '<NULL>'
'161763 - 161779, <Person> : Князю Святославу' == '<NULL>'
'161824 - 161837, <Person> : княжну Малошу' == '<NULL>'
'162050 - 162056, <Person> : Малоша' == '<NULL>'
'162065 - 162070, <Person> : Малка' == '<NULL>'
'162097 - 162113, <Person> : князя Святослава' == '<NULL>'
'162140 - 162144, <Person> : Раби' == '<NULL>'
'162217 - 162223, <Person> : Малоша' == '<NULL>'
'163055 - 163064, <Person> : богатырей' == '<NULL>'
'163066 - 163070, <Person> : Илью' == '<NULL>'
'163072 - 163077, <Person> : Алёшу' == '<NULL>'
'163080 - 163087, <Person> : Добрыню' == '<NULL>'
'163098 - 163102, <Person> : Илью' == '<NULL>'
'169173 - 169205, <Person> : грузинским политическим деятелем' == '<NULL>'
'169206 - 169224, <Person> : Иосифом Джугашвили' == '<NULL>'
'169173 - 169224, <Person> : грузинским политическим деятелем Иосифом Джугашвили' == '<NULL>'
'169737 - 169757, <Person> : грузинского политика' == '<NULL>'
'169944 - 169951, <Person> : Сталина' == '<NULL>'
'169980 - 169986, <Person> : Сталин' == '<NULL>'
'170987 - 170995, <Person> : Суворова' == '<NULL>'
'170999 - 171009, <Person> : Менделеева' == '<NULL>'
'171777 - 171787, <Person> : Императору' == '<NULL>'
'172467 - 172476, <Person> : Столыпина' == '<NULL>'
'173046 - 173055, <Person> : Столыпина' == '<NULL>'
'173420 - 173429, <Person> : К. Крылов' == '<NULL>'
'174130 - 174143, <Person> : А. Самоварова' == '<NULL>'
'174188 - 174197, <Person> : Столыпина' == '<NULL>'
'174263 - 174272, <Person> : Столыпина' == '<NULL>'
'174343 - 174349, <Person> : Сталин' == '<NULL>'
'174335 - 174349, <Person> : Великан Сталин' == '<NULL>'
'174359 - 174367, <Person> : Столыпин' == '<NULL>'
'174352 - 174367, <Person> : пигмей Столыпин' == '<NULL>'
'174391 - 174401, <Person> : И. Фроянов' == '<NULL>'
'174371 - 174401, <Person> : авторитетный ученый И. Фроянов' == '<NULL>'
'174736 - 174749, <Person> : П.А. Столыпин' == '<NULL>'
'174963 - 174971, <Person> : Столыпин' == '<NULL>'
'175129 - 175139, <Person> : собеседник' == '<NULL>'
'175475 - 175485, <Person> : Столыпиным' == '<NULL>'
'175601 - 175609, <Person> : Столыпин' == '<NULL>'
'175762 - 175771, <Person> : Столыпина' == '<NULL>'
'176064 - 176074, <Person> : Столыпиным' == '<NULL>'
'176488 - 176495, <Person> : Крылова' == '<NULL>'
'176795 - 176815, <Person> : Александр Жучковский' == '<NULL>'
'177190 - 177203, <Person> : И. Я. Данилов' == '<NULL>'
'177241 - 177251, <Person> : К. Ламперт' == '<NULL>'
'177405 - 177416, <Person> : Л. Антонова' == '<NULL>'
'177418 - 177429, <Person> : М. Андреева' == '<NULL>'
'177431 - 177443, <Person> : О. Дмитриева' == '<NULL>'
'177445 - 177454, <Person> : Ю. Шапиро' == '<NULL>'
'177646 - 177669, <Person> : адвоката Юлии Тимошенко' == '<NULL>'
'177740 - 177747, <Person> : адвокат' == '<NULL>'
'177957 - 177964, <Person> : Фрадков' == '<NULL>'
'177938 - 177964, <Person> : российский премьер Фрадков' == '<NULL>'
'177974 - 177993, <Person> : украинской коллегой' == '<NULL>'
'178016 - 178027, <Person> : Березовский' == '178016 - 178027, <Org> : Березовский'
'178030 - 178044, <Person> : Патаркацишвили' == '<NULL>'
'179781 - 179787, <Person> : Путину' == '<NULL>'
'179928 - 179939, <Person> : А.А. Гитлер' == '<NULL>'
'180101 - 180112, <Person> : Чемберленов' == '<NULL>'
'180114 - 180118, <Person> : Обам' == '<NULL>'
'180120 - 180127, <Person> : Даладье' == '<NULL>'
'180129 - 180138, <Person> : Камеронов' == '<NULL>'
'180140 - 180151, <Person> : А.А. Гитлер' == '<NULL>'
'180279 - 180290, <Person> : В.В. Путина' == '<NULL>'
'180505 - 180514, <Person> : Януковича' == '<NULL>'
'180515 - 180530, <Person> : Арсению Яценюку' == '<NULL>'
'180853 - 180861, <Person> : Янукович' == '<NULL>'
'180879 - 180887, <Person> : Чаушеску' == '<NULL>'
'180890 - 180921, <Person> : Корреспондент немецкого издания' == '<NULL>'
'183478 - 183486, <Person> : депутаты' == '<NULL>'
'184033 - 184072, <Person> : генеральный директор компании «Румедиа»' == '<NULL>'
'184120 - 184142, <Person> : председателя правления' == '<NULL>'
'184162 - 184176, <Person> : Андрея Козлова' == '<NULL>'
'184120 - 184176, <Person> : председателя правления Центробанка России Андрея Козлова' == '184155 - 184161, <Location> : России'
'184214 - 184228, <Person> : Андрея Козлова' == '<NULL>'
'184940 - 184960, <Person> : замглавы Центробанка' == '<NULL>'
'186119 - 186127, <Person> : Улюкаева' == '<NULL>'
'186130 - 186137, <Person> : Козлова' == '<NULL>'
'186163 - 186170, <Person> : Козлова' == '<NULL>'
'186271 - 186277, <Person> : Козлов' == '<NULL>'
'187024 - 187031, <Person> : Козлова' == '<NULL>'
'188092 - 188100, <Person> : Невзлина' == '<NULL>'
'188113 - 188123, <Person> : Литвиненко' == '<NULL>'
'189836 - 189842, <Person> : ученых' == '<NULL>'
'203697 - 203704, <Person> : Ельцине' == '<NULL>'
'207997 - 208006, <Person> : Хлопонина' == '<NULL>'
'209041 - 209051, <Person> : Берл Лазар' == '<NULL>'
'214606 - 214620, <Person> : Президентом РФ' == '<NULL>'
'217683 - 217699, <Person> : Министр финансов' == '<NULL>'
'218162 - 218178, <Person> : министр финансов' == '<NULL>'
'218476 - 218492, <Person> : глава Минфина РФ' == '<NULL>'
'219126 - 219134, <Person> : Силуанов' == '<NULL>'
'220081 - 220125, <Person> : заместителя министра экономического развития' == '<NULL>'
'220126 - 220140, <Person> : Андрея Клепача' == '<NULL>'
'220081 - 220140, <Person> : заместителя министра экономического развития Андрея Клепача' == '<NULL>'
'220412 - 220420, <Person> : Силуанов' == '<NULL>'
'221026 - 221035, <Person> : Президент' == '<NULL>'
'221056 - 221063, <Person> : Путиным' == '<NULL>'
'221065 - 221075, <Person> : Медведевым' == '<NULL>'
'221082 - 221092, <Person> : партийцами' == '<NULL>'
'223000 - 223009, <Person> : Президент' == '<NULL>'
'230966 - 230974, <Person> : Ливанова' == '<NULL>'
'241147 - 241157, <Person> : чиновников' == '<NULL>'
'246285 - 246291, <Person> : Путина' == '<NULL>'
'246292 - 246299, <Person> : Кудрина' == '<NULL>'
'255353 - 255364, <Person> : Президентом' == '<NULL>'
'255840 - 255871, <Person> : Кремлёвских властных чиновников' == '<NULL>'
'258006 - 258021, <Person> : Сергея Собянина' == '<NULL>'
'257985 - 258021, <Person> : советник мэра Москвы Сергея Собянина' == '257999 - 258005, <Location> : Москвы'
'258023 - 258041, <Person> : почётный гражданин' == '<NULL>'
'258958 - 258971, <Person> : президент США' == '258968 - 258971, <Location> : США'
'259852 - 259859, <Person> : Даллеса' == '<NULL>'
'261993 - 262004, <Person> : Президентом' == '<NULL>'
'262642 - 262648, <Person> : Путине' == '<NULL>'
'263013 - 263019, <Person> : Путине' == '<NULL>'
'264907 - 264918, <Person> : Кофи Аннана' == '<NULL>'
'265015 - 265026, <Person> : Алекс Джонс' == '<NULL>'
'265072 - 265094, <Person> : американский журналист' == '<NULL>'
'265096 - 265104, <Person> : писатель' == '<NULL>'
'265106 - 265123, <Person> : ведущий радио-шоу' == '<NULL>'
'265169 - 265174, <Person> : актёр' == '<NULL>'
'265295 - 265301, <Person> : Алексу' == '<NULL>'
'265537 - 265562, <Person> : Глава Европейского совета' == '<NULL>'
'265603 - 265611, <Person> : Глава ЕС' == '265609 - 265611, <Org> : ЕС'
'265872 - 265883, <Person> : Альберт Гор' == '<NULL>'
'265916 - 265934, <Person> : вице-президент США' == '265931 - 265934, <Location> : США'
'265965 - 265979, <Person> : Билла Клинтона' == '<NULL>'
'266776 - 266786, <Person> : Пан Ги Мун' == '<NULL>'
'266793 - 266814, <Person> : Генеральный секретарь' == '<NULL>'
'266925 - 266938, <Person> : Алекса Джонса' == '<NULL>'
'266914 - 266938, <Person> : журналиста Алекса Джонса' == '<NULL>'
'266947 - 266953, <Person> : парень' == '<NULL>'
'269706 - 269716, <Person> : Бен Сэнтед' == '<NULL>'
'269898 - 269908, <Person> : учёные ООН' == '269905 - 269908, <Org> : ООН'
'271738 - 271764, <Person> : Генерального секретаря ООН' == '271761 - 271764, <Org> : ООН'
'271765 - 271776, <Person> : Пан Ги Муна' == '<NULL>'
'271738 - 271776, <Person> : Генерального секретаря ООН Пан Ги Муна' == '271761 - 271764, <Org> : ООН'
'271820 - 271838, <Person> : Германа ван Ромпея' == '<NULL>'
'271778 - 271838, <Person> : Генерального секретаря Европейского союза Германа ван Ромпея' == '<NULL>'
'272302 - 272319, <Person> : Участники митинга' == '<NULL>'
'272478 - 272484, <Person> : Азаров' == '<NULL>'
'272518 - 272526, <Person> : Янукович' == '<NULL>'
'272874 - 272885, <Person> : митингующие' == '<NULL>'
'273671 - 273681, <Person> : президента' == '<NULL>'
'273690 - 273707, <Person> : Виктора Януковича' == '<NULL>'
'273671 - 273707, <Person> : президента Украины Виктора Януковича' == '273682 - 273689, <Location> : Украины'
'273786 - 273800, <Person> : Виктора Пшонки' == '<NULL>'
'273755 - 273800, <Person> : генерального прокурора Украины Виктора Пшонки' == '273778 - 273785, <Location> : Украины'
'273803 - 273841, <Person> : министра экологии и природных ресурсов' == '<NULL>'
'274088 - 274098, <Person> : Президенту' == '<NULL>'
'274107 - 274124, <Person> : Виктору Януковичу' == '<NULL>'
'274088 - 274124, <Person> : Президенту Украины Виктору Януковичу' == '274099 - 274106, <Location> : Украины'
'274313 - 274328, <Person> : Участники акции' == '<NULL>'
'275063 - 275105, <Person> : Представители Донецкой облгосадминистрации' == '<NULL>'
'275634 - 275662, <Person> : Глава Общины Родовое Вогнище' == '<NULL>'
'275795 - 275799, <Person> : Рита' == '<NULL>'
'275827 - 275917, <Person> : участники Одесского Оргкомитетета по защите природных ресурсов и интересов граждан Украины' == '275910 - 275917, <Location> : Украины'
'276065 - 276154, <Person> : участник Одесского Оргкомитетета по защите природных ресурсов и интересов граждан Украины' == '276147 - 276154, <Location> : Украины'
'276285 - 276295, <Person> : Президента' == '<NULL>'
'276304 - 276321, <Person> : Виктора Януковича' == '<NULL>'
'276285 - 276321, <Person> : Президента Украины Виктора Януковича' == '276296 - 276303, <Location> : Украины'
'280991 - 281010, <Person> : американские ученые' == '<NULL>'
'281663 - 281669, <Person> : Еретик' == '<NULL>'
'282023 - 282026, <Person> : Ант' == '<NULL>'
'282271 - 282279, <Person> : vladimir' == '<NULL>'
'283641 - 283654, <Person> : Александр АКр' == '<NULL>'
'283730 - 283733, <Person> : Ант' == '<NULL>'
'283948 - 283961, <Person> : Александр АКр' == '<NULL>'
'284113 - 284119, <Person> : сергеЙ' == '<NULL>'
'284228 - 284236, <Person> : vladimir' == '<NULL>'
'285388 - 285391, <Person> : Ант' == '<NULL>'
'285408 - 285419, <Person> : губернатора' == '<NULL>'
'285422 - 285426, <Person> : мера' == '<NULL>'
'289455 - 289493, <Person> : старшие воспитатели Приморского района' == '<NULL>'
'289818 - 289826, <Person> : ветераны' == '<NULL>'
'289828 - 289879, <Person> : сотрудники службы участковых уполномоченных полиции' == '<NULL>'
'290412 - 290451, <Person> : Специалисты территориальных органов ПФР' == '<NULL>'
'291394 - 291407, <Person> : С.Г. Писахова' == '<NULL>'
'291616 - 291637, <Person> : организаторы аукциона' == '<NULL>'
'291910 - 291927, <Person> : соотечественников' == '<NULL>'
'291947 - 291957, <Person> : чиновников' == '<NULL>'
'293607 - 293614, <Person> : эксперт' == '<NULL>'
'293691 - 293698, <Person> : эксперт' == '<NULL>'
'293922 - 293943, <Person> : депутаты Ненецкого АО' == '<NULL>'
'294474 - 294481, <Person> : эксперт' == '<NULL>'
'296068 - 296101, <Person> : Глава комитета Госдумы по бюджету' == '296083 - 296090, <Org> : Госдумы'
'296218 - 296277, <Person> : председателем Парламентской ассоциации Северо-Запада России' == '296271 - 296277, <Location> : России'
'296292 - 296345, <Person> : Парламентарии Северо-Запада и Дальнего Востока России' == '296339 - 296345, <Location> : России'
'296520 - 296547, <Person> : Парламентарии Северо-Запада' == '<NULL>'
'298410 - 298418, <Person> : Силуанов' == '<NULL>'
'299939 - 299955, <Person> : Александр Дятлов' == '<NULL>'
'301261 - 301268, <Person> : эксперт' == '<NULL>'
'301631 - 301659, <Person> : министра сельского хозяйства' == '<NULL>'
'301746 - 301754, <Person> : чиновник' == '<NULL>'
'301941 - 301965, <Person> : Архангельский губернатор' == '<NULL>'
'302272 - 302279, <Person> : эксперт' == '<NULL>'
'302375 - 302382, <Person> : Адвокат' == '<NULL>'
'302384 - 302392, <Person> : Пеункову' == '<NULL>'
'302473 - 302494, <Person> : воспитатель интерната' == '<NULL>'
'302615 - 302622, <Person> : эксперт' == '<NULL>'
'303405 - 303418, <Person> : Гособвинитель' == '<NULL>'
'303434 - 303455, <Person> : экс-депутата Пеункова' == '<NULL>'
'303835 - 303857, <Person> : «Лесной» чиновник СЗФО' == '<NULL>'
'303954 - 303971, <Person> : архангелогородцев' == '<NULL>'
'304462 - 304478, <Person> : Верховный муфтий' == '<NULL>'
'304698 - 304713, <Person> : Сотрудника САФУ' == '<NULL>'
'304751 - 304784, <Person> : Глава комитета Госдумы по бюджету' == '304766 - 304773, <Org> : Госдумы'
'304901 - 304960, <Person> : председателем Парламентской ассоциации Северо-Запада России' == '304954 - 304960, <Location> : России'
'304975 - 305028, <Person> : Парламентарии Северо-Запада и Дальнего Востока России' == '305022 - 305028, <Location> : России'
'305178 - 305205, <Person> : Парламентарии Северо-Запада' == '<NULL>'
'305282 - 305310, <Person> : Жители Архангельской области' == '<NULL>'
'305627 - 305654, <Person> : Глава архангельской полиции' == '<NULL>'
'305773 - 305780, <Person> : депутат' == '<NULL>'
'314642 - 314662, <Person> : приморскими авторами' == '<NULL>'
'316536 - 316584, <Person> : заместители директоров по дошкольному воспитанию' == '<NULL>'
'316587 - 316606, <Person> : старшие воспитатели' == '<NULL>'
'316905 - 316938, <Person> : участковых уполномоченных полиции' == '<NULL>'
'316950 - 316958, <Person> : ветераны' == '<NULL>'
'316960 - 317011, <Person> : сотрудники службы участковых уполномоченных полиции' == '<NULL>'
'317544 - 317583, <Person> : Специалисты территориальных органов ПФР' == '<NULL>'
'317657 - 317665, <Person> : учащимся' == '<NULL>'
'318338 - 318345, <Person> : Писахов' == '<NULL>'
'318531 - 318539, <Person> : Писахова' == '<NULL>'
'318526 - 318539, <Person> : С.Г. Писахова' == '<NULL>'
'319129 - 319136, <Person> : Путиным' == '<NULL>'
'319137 - 319142, <Person> : Додон' == '<NULL>'
'319224 - 319232, <Person> : гагаузов' == '<NULL>'
'319233 - 319238, <Person> : Додон' == '<NULL>'
'319241 - 319264, <Person> : сытый чужак из Кишинева' == '319256 - 319264, <Location> : Кишинева'
'319303 - 319324, <Person> : представителей ФМС РФ' == '<NULL>'
'319343 - 319361, <Person> : «соотечественники»' == '<NULL>'
'319388 - 319396, <Person> : гагаузов' == '<NULL>'
'319397 - 319402, <Person> : Додон' == '<NULL>'
'319405 - 319428, <Person> : сытый чужак из Кишинева' == '319420 - 319428, <Location> : Кишинева'
'319430 - 319456, <Person> : Глава Гагаузской автономии' == '<NULL>'
'319698 - 319706, <Person> : Формузал' == '<NULL>'
'319915 - 319923, <Person> : Формузал' == '<NULL>'
'319933 - 319953, <Person> : членом правительства' == '<NULL>'
'320315 - 320324, <Person> : источники' == '<NULL>'
'320375 - 320384, <Person> : Формузала' == '<NULL>'
'320511 - 320520, <Person> : Формузала' == '<NULL>'
'320582 - 320600, <Person> : лидера социалистов' == '<NULL>'
'320607 - 320613, <Person> : Додона' == '<NULL>'
'320601 - 320613, <Person> : Игоря Додона' == '<NULL>'
'320582 - 320613, <Person> : лидера социалистов Игоря Додона' == '<NULL>'
'320634 - 320641, <Person> : башкана' == '<NULL>'
'320706 - 320714, <Person> : Источник' == '320706 - 320714, <Org> : Источник'
'320746 - 320752, <Person> : Додона' == '<NULL>'
'320858 - 320869, <Person> : Покровители' == '<NULL>'
'320870 - 320892, <Person> : молдавского социалиста' == '<NULL>'
'320858 - 320901, <Person> : Покровители молдавского социалиста в Москве' == '320895 - 320901, <Location> : Москве'
'321136 - 321168, <Person> : молдавских сельхозпроизводителей' == '<NULL>'
'321304 - 321318, <Person> : производителей' == '<NULL>'
'321718 - 321747, <Person> : руководителей Партии регионов' == '<NULL>'
'321844 - 321887, <Person> : первый заместитель по Исполкому и по партии' == '<NULL>'
'321936 - 321988, <Person> : руководство общественного движения «Единая Гагаузия»' == '<NULL>'
'322292 - 322307, <Person> : Единой Гагаузии' == '<NULL>'
'322291 - 322308, <Person> : «Единой Гагаузии»' == '<NULL>'
'322285 - 322308, <Person> : Члены «Единой Гагаузии»' == '<NULL>'
'322444 - 322459, <Person> : члены Исполкома' == '<NULL>'
'322499 - 322522, <Person> : членами Партии регионов' == '<NULL>'
'324298 - 324305, <Person> : Путиным' == '<NULL>'
'324331 - 324357, <Person> : лидеров Партии социалистов' == '<NULL>'
'324358 - 324370, <Person> : Игоря Додона' == '<NULL>'
'324373 - 324389, <Person> : Зинаиды Гречаной' == '<NULL>'
'324331 - 324389, <Person> : лидеров Партии социалистов Игоря Додона и Зинаиды Гречаной' == '<NULL>'
'324392 - 324406, <Person> : президентом РФ' == '<NULL>'
'324555 - 324560, <Person> : Додон' == '<NULL>'
'324648 - 324667, <Person> : население автономии' == '<NULL>'
'324686 - 324692, <Person> : Додона' == '<NULL>'
'324783 - 324789, <Person> : Додону' == '<NULL>'
'324830 - 324835, <Person> : Додон' == '<NULL>'
'324840 - 324848, <Person> : гагаузов' == '<NULL>'
'324851 - 324874, <Person> : сытый чужак из Кишинева' == '324866 - 324874, <Location> : Кишинева'
'324890 - 324896, <Person> : южанах' == '<NULL>'
'324949 - 324960, <Person> : кишиневских' == '<NULL>'
'325034 - 325044, <Person> : силы в АТО' == '<NULL>'
'325061 - 325066, <Person> : Додон' == '<NULL>'
'325182 - 325188, <Person> : Додона' == '<NULL>'
'325285 - 325311, <Person> : председатель «Равноправия»' == '<NULL>'
'325445 - 325453, <Person> : Клименко' == '<NULL>'
'325500 - 325508, <Person> : молдаван' == '<NULL>'
'325543 - 325551, <Person> : Клименко' == '<NULL>'
'325570 - 325586, <Person> : премьеру Румынии' == '325579 - 325586, <Location> : Румынии'
'325587 - 325592, <Person> : Понте' == '<NULL>'
'325570 - 325592, <Person> : премьеру Румынии Понте' == '325579 - 325586, <Location> : Румынии'
'325684 - 325704, <Person> : молдавскому политику' == '<NULL>'
'325715 - 325751, <Person> : руководителю Конгресса русских общин' == '<NULL>'
'325844 - 325858, <Person> : Ренато Усатого' == '<NULL>'
'326064 - 326071, <Person> : Усатого' == '<NULL>'
'326188 - 326197, <Person> : Формузала' == '<NULL>'
'326434 - 326490, <Person> : лидеров и активистов некоего Народного движения Гагаузии' == '<NULL>'
'326511 - 326529, <Person> : один из членов НДГ' == '<NULL>'
'326610 - 326633, <Person> : «гагаузских народников»' == '<NULL>'
'326708 - 326727, <Person> : лидерам организации' == '<NULL>'
'326834 - 326849, <Person> : членов движения' == '<NULL>'
'327144 - 327154, <Person> : участников' == '<NULL>'
'327420 - 327435, <Person> : Власти Молдавии' == '327427 - 327435, <Location> : Молдавии'
'327517 - 327530, <Person> : организаторов' == '<NULL>'
'327605 - 327627, <Person> : инициаторов плебисцита' == '<NULL>'
'327697 - 327706, <Person> : власти РМ' == '<NULL>'
'327803 - 327825, <Person> : депутатов всех уровней' == '<NULL>'
'327927 - 327950, <Person> : «гагаузских народников»' == '<NULL>'
'328530 - 328548, <Person> : комратский деятель' == '<NULL>'
'328549 - 328555, <Person> : Добров' == '<NULL>'
'328530 - 328555, <Person> : комратский деятель Добров' == '<NULL>'
'328964 - 328981, <Person> : Аннели Уте Габани' == '<NULL>'
'329487 - 329510, <Person> : Кишиневские специалисты' == '<NULL>'
'329528 - 329534, <Person> : Габани' == '<NULL>'
'329520 - 329534, <Person> : госпожу Габани' == '<NULL>'
'330821 - 330834, <Person> : трех башканов' == '<NULL>'
'330957 - 330965, <Person> : башканом' == '<NULL>'
'331117 - 331137, <Person> : избиратели автономии' == '<NULL>'
'331233 - 331240, <Person> : башкана' == '<NULL>'
'331285 - 331301, <Person> : Дмитрия Кройтора' == '<NULL>'
'331329 - 331352, <Person> : Депутатское большинство' == '<NULL>'
'331398 - 331429, <Person> : руководством Партии коммунистов' == '<NULL>'
'331985 - 332004, <Person> : избиратели Гагаузии' == '<NULL>'
'332281 - 332287, <Person> : башкан' == '<NULL>'
'332334 - 332349, <Person> : Василия Тарлева' == '<NULL>'
'332486 - 332494, <Person> : Формузал' == '<NULL>'
'334718 - 334740, <Person> : гагаузских избирателей' == '<NULL>'
'334950 - 334972, <Person> : гагаузских избирателей' == '<NULL>'
'335000 - 335006, <Person> : Крылов' == '<NULL>'
'335013 - 335033, <Person> : компаньоны по партии' == '<NULL>'
'335233 - 335247, <Person> : Игорем Додоном' == '<NULL>'
'335709 - 335714, <Person> : Додон' == '<NULL>'
'335825 - 335832, <Person> : Додоном' == '<NULL>'
'335974 - 335979, <Person> : Додон' == '<NULL>'
'336049 - 336066, <Person> : политиками России' == '336060 - 336066, <Location> : России'
'336360 - 336366, <Person> : Додона' == '<NULL>'
'336420 - 336427, <Person> : Додоном' == '<NULL>'
'336512 - 336519, <Person> : Усатого' == '<NULL>'
'336505 - 336519, <Person> : Ренато Усатого' == '<NULL>'
'336775 - 336782, <Person> : Усатого' == '<NULL>'
'336857 - 336871, <Person> : житель Комрата' == '<NULL>'
'336919 - 336940, <Person> : кандидат от автономии' == '<NULL>'
'337221 - 337229, <Person> : гагаузов' == '<NULL>'
'337284 - 337297, <Person> : Ренато Усатым' == '<NULL>'
'337313 - 337327, <Person> : Игорем Додоном' == '<NULL>'
'338033 - 338040, <Person> : Воронин' == '<NULL>'
'340645 - 340661, <Person> : Николаем Дудогло' == '340645 - 340670, <Org> : Николаем Дудогло движение'
'341177 - 341230, <Person> : Депутаты гагаузского парламента от Демпартии Молдавии' == '341222 - 341230, <Location> : Молдавии'
'341420 - 341454, <Person> : партийного руководства из Кишинева' == '341446 - 341454, <Location> : Кишинева'
'341652 - 341659, <Person> : Дудогло' == '<NULL>'
'341691 - 341712, <Person> : руководства Демпартии' == '<NULL>'
'341733 - 341751, <Person> : четверых депутатов' == '<NULL>'
'341797 - 341818, <Person> : Дмитрия Константинова' == '<NULL>'
'341789 - 341818, <Person> : спикера Дмитрия Константинова' == '<NULL>'
'342058 - 342091, <Person> : гагаузских депутатов всех уровней' == '<NULL>'
'342134 - 342143, <Person> : Демократы' == '<NULL>'
'342167 - 342185, <Person> : инициаторов съезда' == '<NULL>'
'342470 - 342501, <Person> : обещанных представителей ФМС РФ' == '<NULL>'
'342520 - 342538, <Person> : «соотечественники»' == '<NULL>'
'342601 - 342671, <Person> : делегацией Федеральной миграционной службы и Министерства труда России' == '342665 - 342671, <Location> : России'
'342711 - 342721, <Person> : чиновников' == '<NULL>'
'342724 - 342742, <Person> : жителями автономии' == '<NULL>'
